Raonic M.,135,1828.1642086502554
Giron M.,-3,1562.809242250042
Simon G.,119,1665.4591743592352
Davidovich Fokina A.,-2,1608.9893568040088
Nishioka Y.,-6,1678.4774564989925
Herbert P.H.,-16,1630.516877112171
Bergs Z.,0,1520.5588264290138
Goffin D.,62,1738.598866144855
Otte O.,-2,1515.6430674361925
Opelka R.,3,1730.927903346971
Lopez F.,28,1631.5828307143324
Cecchinato M.,-37,1531.6987838907753
Johnson S.,-5,1618.6984650563163
Andujar P.,-65,1510.201012995272
Ramos-Vinolas A.,-1,1601.8110982953115
Gasquet R.,188,1666.988797254369
Coria F.,-2,1531.2834361935213
Nardi L.,-1,1500.0
Caruso S.,-10,1519.0197265186978
Nagal S.,-6,1467.580117549841
Coppejans K.,-7,1439.5645574131765
Cilic M.,165,1715.309269848917
Popyrin A.,-13,1531.5415504060206
Altmaier D.,-2,1540.1538614220644
Edmund K.,-5,1662.8864901717998
Djere L.,1,1636.4655581351446
Bautista Agut R.,65,1819.5705530382415
Petrovic D.,-4,1501.6107501877043
Musetti L.,2,1588.4641268162272
Hanfmann Y.,3,1641.9634308399789
Ivashka I.,-5,1545.3499084542493
Pellegrino A.,0,1518.7880163917976
Laaksonen H.,-14,1532.149319182629
Safiullin R.,-1,1499.8826003123663
Zverev M.,-59,1506.4769565425804
Serdarusic N.,-2,1480.7205568224606
Troicki V.,18,1619.2987210040262
Gomez E.,-5,1464.3767748889047
Kotov P.,-1,1500.0
Donskoy E.,-45,1493.3646366277337
Wolf J.J.,-1,1529.336856156109
Murray A.,401,1888.3875989370133
Fucsovics M.,-5,1690.520576901817
Kovalik J.,-18,1417.2251952406102
Zeppieri G.,-1,1500.0
Mager G.,-2,1550.8421621085286
Polmans M.,-5,1483.2820867822647
Martin A.,-45,1546.5466788902763
Cuevas P.,1,1586.552773661301
Majchrzak K.,-7,1472.3117164528328
Nadal R.,691,2131.624588922847
Gaston H.,0,1535.7199624916566
Korda S.,-1,1530.5988240947277
Monteiro T.,-20,1538.3974359303402
Berrettini M.,21,1827.4161453952036
Galan D.,1,1539.6593680771114
Martinez P.,-1,1574.6515550390864
Pella G.,-9,1611.6286320644328
Milojevic N.,0,1543.831693549068
Berankis R.,-25,1605.672763876355
Isner J.,131,1732.7489184131998
Koepfer D.,-1,1610.862753702854
Giustino L.,-4,1479.002485823832
Sock J.,36,1649.7652148415038
Londero J.I.,-1,1577.366341308564
Bonzi B.,0,1526.7628651942869
Nishikori K.,131,1752.796734874828
Mayot H.,-2,1488.6716078892748
Dellien H.,-11,1461.567637797634
Querrey S.,66,1667.168731804841
Kohlschreiber P.,62,1573.1986201284765
Halys Q.,-14,1446.2177418248464
Ymer M.,-10,1517.2388708003436
Uchiyama Y.,-7,1493.5325796944142
Basilashvili N.,-17,1580.3609427418614
Munar J.,-13,1482.8396473594858
Barrere G.,-8,1538.0316210894744
Sousa J.,-27,1489.6188660613216
Mmoh M.,-9,1478.3239197225037
Diez S.,-4,1485.431613975033
Fognini F.,10,1669.2304450035938
Vukic A.,-2,1492.6855449160798
Janvier M.,-4,1472.2180776324612
Broady L.,-4,1514.36800247347
Rinderknech A.,-1,1500.0
Machac T.,-1,1500.0
Chardy J.,-21,1677.3110351501707
Benchetrit E.,-3,1485.3439608040085
Kwon S.W.,-2,1598.4682460727447
Hoang A.,-5,1508.0849365548854
Bagnis F.,-27,1406.6261129052505
Huesler M.A.,1,1549.4725459189158
Marterer M.,-18,1488.8267269508526
Ofner S.,2,1590.72742405652
O Connell C.,0,1518.7700320917943
Escobedo E.,-11,1518.4943296015706
Kuznetsov An.,-20,1637.156581685308
Cressy M.,0,1512.8213618642149
Krueger M.,-3,1504.464055768802
Mayer L.,-30,1489.274901962999
Nakashima B.,1,1544.9888971009116
Soeda G.,-45,1462.2847050679254
Karlovic I.,27,1524.7213389326814
Gaio F.,-7,1435.4027146502935
Kwiatkowski T.S.,-4,1473.6215130350379
Blanch U.,-1,1500.0
Klahn B.,-16,1439.941795869195
Kudla D.,-39,1495.9907823164945
Daniel T.,-30,1493.214673806004
Seyboth Wild T.,1,1557.7181351551706
Lorenzi P.,-64,1495.9557179399958
Sousa P.,-11,1446.5333506503564
Safwat M.,-8,1440.6121269321595
Gojowczyk P.,-8,1566.8367758126471
Olivo R.,-7,1533.0766398488977
Varillas J.P.,0,1514.7656737338218
Kyrgios N.,54,1819.0429700959096
Tabilo A.,0,1526.882536085854
Barrios Vera M.T.,0,1516.7955848615497
Klizan M.,-33,1496.975516376103
Horansky F.,-3,1473.1435830051103
Bolt A.,-6,1529.4633580912678
Lopez Villasenor G.,-2,1488.9319175693
Gunneswaran P.,-9,1461.8591207144534
Lu Y.H.,-71,1562.7911593789881
Taberner C.,-1,1517.290165041618
Jaziri M.,-43,1445.0419064718176
Stebe C.M.,-17,1541.7735763702008
Domingues J.,0,1551.222870010559
Alcaraz C.,0,1523.6756489182933
Rubin N.,-8,1459.2738391621544
Harrison R.,-25,1644.8807070559553
Galan D.E.,-1,1512.8382806174184
Istomin D.,-47,1528.555305046124
Kozlov S.,-10,1446.6737170272634
Gulbis E.,-34,1499.6452983057686
Tomic B.,-14,1526.1273722859821
Meligeni Rodrigues F,-1,1500.0
Shi B.,-1,1500.0
Haase R.,-37,1559.5370626278832
Diaz Acosta F.,-1,1500.0
Griekspoor T.,-4,1515.0397618826134
Schnur B.,-6,1474.1225721905312
Marcora R.,0,1526.6859383810013
Cachin P.,-1,1518.9461258150804
Mukund S.,-1,1500.0
Rosol L.,-39,1532.7033688070421
Maden Y.,-7,1491.0541292237274
Couacaud E.,-1,1500.0
Stakhovsky S.,-42,1518.2098182535299
Kadhe A.,-3,1470.324520198374
Ficovich J.P.,-1,1500.0
Ramanathan R.,-7,1484.3122137605517
Fabbiano T.,-30,1480.9723006751417
Federer R.,852,2136.00493645942
Ito T.,-25,1479.158012104368
Vilella Martinez M.,-1,1500.0
Trungelliti M.,-5,1477.1843361201318
Purcell M.,-1,1500.0
Tsonga J.W.,214,1801.4111861400352
O'Connell C.,-3,1482.7119119689405
Eubanks C.,-8,1451.571705770736
Harris A.,-1,1500.0
Smith J.P.,-11,1429.6264708419803
Robert S.,-33,1475.6741375461124
Venus M.,-8,1441.965084726041
